thumb_mcp,thumb_ip,index_mcp,index_pip,index_dip,middle_mcp,middle_pip,middle_dip,ring_mcp,ring_pip,ring_dip,pinky_mcp,pinky_pip,pinky_dip,image
172.33856696158435,173.07441861247446,176.19556512144683,178.50504212997305,177.0341070830476,173.3552471705672,177.0669813584882,177.86215698999152,168.0856747499807,174.90510617130607,174.30034009528367,167.95004592023508,171.864236896451,171.9774642831169,frame_0001.jpg
173.10106636944738,173.75600295802568,173.61295632439538,177.15330617039643,179.07019632542978,174.42008908596574,176.56854760106827,178.6359355278839,170.773749641101,176.1901730131967,177.38602089444396,172.58281482910775,173.60696900259862,176.10382920877717,frame_0002.jpg
176.29777585634758,174.9574213958002,173.46654008711195,176.43707139883963,179.1874206270926,175.5568134810701,175.3960106124193,179.10917663065473,173.49093170655274,177.27032254833202,177.79099869538297,175.76039632962875,176.85253198407744,177.46176649480273,frame_0003.jpg
179.05498324315107,172.4787814854773,174.3491847230892,175.5955513377526,178.49489270770525,176.12395587393453,174.95259482154606,179.57858900886055,174.73240625953846,176.7318135485325,177.78925213869093,176.05031668074267,177.68993395019265,177.30930032588026,frame_0004.jpg
179.2036997923379,171.33506555882056,173.88858746975313,175.56303392735265,178.7665887510851,175.6629008553573,174.6346192277674,179.55409596664273,174.543887555712,176.7240544344864,177.45709648581393,175.60681154580553,177.60522833866045,177.100721149447,frame_0005.jpg
179.21529003504284,170.23610247867714,173.9171417044966,175.58587258945602,178.9936807071094,175.52521142508968,174.7445023219761,179.25662890088006,174.30532431174976,176.67998330957948,177.00867340360494,174.54942044509488,177.50801269932822,176.37314277013408,frame_0006.jpg
177.98862246372818,165.06921239684843,173.8027827628332,176.02792336215225,179.3150611057478,175.8509396495467,175.21443034688915,179.3082261661355,175.85332068065594,176.58507496153032,177.4745022088581,175.95206260975445,177.36095178357928,177.0437070472231,frame_0007.jpg
177.98522536071764,167.154690959136,173.08544013164044,177.29915153816762,178.86768648811903,176.55657346201477,177.0569895599842,178.39437843191766,179.01691349250183,176.21792571342152,177.54171199050532,179.01247308577643,174.98656115210426,177.0995438977906,frame_0008.jpg
175.1401701096386,173.71762399929966,171.07951583112543,179.4704998974349,177.737118423329,176.1310000246084,179.53090672738566,177.9272336761645,175.25018286859844,178.5008091863316,177.72630788868926,173.63884759056063,175.64652551574414,177.0675503353256,frame_0009.jpg
165.2969377500578,171.9793120087964,173.16889013223275,176.92716876691918,177.68131935713927,172.2591649252676,178.84715622960664,178.66754487258072,166.62290612014255,178.6371144455286,177.39338890526716,160.6249260069862,178.4349890329533,176.8444194380489,frame_0010.jpg
179.1021275935118,172.8999361977865,174.43411800534827,175.3411292708304,174.92878427347867,175.50566350176254,176.30543644584202,177.47999127094866,170.65745441017526,178.01047243677277,175.53656271610572,169.35253555346168,176.94723691876408,173.04822479276882,frame_0011.jpg
178.56602851120783,169.4370617574277,176.37406099262495,175.9287932303078,175.3627716637454,178.9294199427998,175.4889657136669,177.0070435532723,172.66776676446403,176.06181495120558,175.39566440722382,170.37333392829328,176.56626803056588,173.31966753303192,frame_0012.jpg
179.32556748675117,168.44521566297342,175.74438074200333,175.0163220813402,173.65497828517647,178.02815981418672,173.5445098992105,176.52743618482063,171.81059882143396,174.7271131553283,174.15127249548814,169.84038335464243,175.52104950947947,172.39275597976393,frame_0013.jpg
174.64790041274077,170.99163596362305,172.30281971845508,174.70581217369997,175.23671951907096,173.2561118718233,177.58642619274482,177.9479961038554,169.63997590089483,177.46726637958412,176.07199401873018,168.23147499975107,177.29555509774937,173.53625611724945,frame_0014.jpg
176.19511319776416,172.34106506388582,171.20218458629932,177.44038255466458,178.3695862825896,175.06028955829984,177.35551862855823,177.9271428501113,178.54529634837274,176.70602225683544,178.3015757680995,177.4207939680702,171.81563111011565,175.6923728621533,frame_0015.jpg
177.2993743052598,169.89182947458772,173.7412225677153,177.1318854126947,178.87769442604747,175.57962252634235,176.83682761897938,177.98902819085401,176.00291447390825,176.7199161651197,177.25082190395923,178.35856622636337,176.15144821832172,176.5550236667865,frame_0016.jpg
178.61915453864452,164.69152662068927,174.12984732057456,176.74820268976802,179.1736052942656,176.3337247846167,176.1490725357663,178.54499984882526,176.13753855763886,177.34504344667562,176.94485068058546,175.91956024857416,176.92686053936433,175.96558249761077,frame_0017.jpg
178.16471861164578,161.39969608940027,174.16088231047394,176.51706889872494,178.50844815370812,176.53039655212677,175.81305789358976,179.0712980537608,175.66604931646594,176.96544208484744,176.71249649332373,173.14713978128188,177.15195993555412,175.69582415290512,frame_0018.jpg
177.95277021939344,164.89038600915285,174.21756003121143,176.30187965669697,177.8398284929262,176.68022076282637,175.79299665911222,178.80856308346844,175.39230048598756,177.38740112025025,176.94037924028305,175.70818075748014,177.0903224895581,176.05075591772632,frame_0019.jpg
179.4159659927394,168.87342851843778,174.47172080064811,176.5485712879628,178.00376431780978,177.0671275606869,176.31333550031673,178.69834275934917,175.5920854576633,178.05312078288856,177.3079848571146,176.8772061639807,176.6002315386232,176.8230844315648,frame_0020.jpg
176.182863443505,168.10261656150885,173.91965371883015,176.6069689223281,178.0335612686595,177.20983422737575,176.2357088799265,178.75198163715905,175.80153146093252,177.99957190457081,178.04130501360567,176.29410318305577,176.66673015256652,177.50196716701743,frame_0021.jpg
173.31231669033576,168.78929249797386,174.23194295536982,176.7732276976466,177.35269907967273,176.98503710432175,176.55680698409645,178.638369117835,175.14742904410747,178.23972590651172,178.00164738421134,175.67688570449718,176.24819654398058,177.3716604901371,frame_0022.jpg
174.04696288793275,167.90659242734287,173.87052422797657,176.6523741941329,177.31922970236403,176.9160025924265,176.30794906729363,178.49384588741574,175.19761465294738,178.42651717641635,177.87580862231474,175.72847327350942,176.01893889000985,177.43894421035162,frame_0023.jpg
174.87180152508006,174.5297798857799,171.86318179104,175.77356066230516,178.0052275843802,175.53177322915897,175.3272454551246,178.67162829514862,174.39153572884533,178.14526479328686,177.50801523538252,176.2872645316527,175.8570447093122,177.65071645463806,frame_0024.jpg
151.80657895862464,153.01471735848583,137.9672518620786,158.1303344775181,103.18178754190498,152.3387982317093,95.50489757092431,108.60468165302669,156.07982773079286,37.843640188434996,155.8217902904849,152.98136076410893,46.255533466523765,157.5028164960225,frame_0025.jpg
