image,x_0,y_0,z_0,x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,x_5,y_5,z_5,x_6,y_6,z_6,x_7,y_7,z_7,x_8,y_8,z_8,x_9,y_9,z_9,x_10,y_10,z_10,x_11,y_11,z_11,x_12,y_12,z_12,x_13,y_13,z_13,x_14,y_14,z_14,x_15,y_15,z_15,x_16,y_16,z_16,x_17,y_17,z_17,x_18,y_18,z_18,x_19,y_19,z_19,x_20,y_20,z_20
frame_0001.jpg,0.0,0.0,0.0,-0.1919633493201366,-0.15392939685303927,-0.1148275236335642,-0.3434406289484923,-0.4683504013667205,-0.19063068870516325,-0.4433938476350813,-0.7748379743115943,-0.2516753870903355,-0.504891587325409,-1.090780085015675,-0.31396579818211895,-0.17552696353629554,-0.9321301368372819,-0.1844815156423505,-0.25251097493128283,-1.3452273949594125,-0.2955789337852744,-0.306909309397608,-1.6107418755294074,-0.37295526609270757,-0.3429890833487753,-1.8286845262156888,-0.4273973696234405,-0.018001785847574038,-0.9813383209514903,-0.19144460174788885,-0.07698023277072188,-1.432001192055377,-0.2985724176573174,-0.1318872120478859,-1.7333601222542323,-0.3759319035982339,-0.18221260940323514,-1.9772004140378112,-0.4310189185773772,0.1316233381200178,-0.9217974887835066,-0.20850026206411723,0.10141596612444487,-1.3623840285129554,-0.32570393701995054,0.05807745495941686,-1.6306268857261499,-0.40015915660620194,0.00467310859846591,-1.861694167951207,-0.44633349904197706,0.27681235720001335,-0.7818590780438746,-0.22977240785273786,0.32058813916197787,-1.1269805650197653,-0.34422334191099374,0.31798214796026386,-1.3493616297529163,-0.4047175682139448,0.29289376222647573,-1.547531579352566,-0.4412064307227357
frame_0002.jpg,0.0,0.0,0.0,-0.20910019010298597,-0.1602136429141228,-0.06317678951411286,-0.34262004647789646,-0.5217488839870618,-0.086166305087384,-0.41522706468187753,-0.827417712759348,-0.10625497566638997,-0.4932653884448265,-1.0470515396346625,-0.12472830125642068,-0.16891587230871868,-0.9479442817723114,-0.03480475294332547,-0.23888057890112321,-1.3331931671353052,-0.09300383528793459,-0.2792464506808518,-1.589379770830454,-0.14330627639028148,-0.31051783313398174,-1.7893644379134037,-0.17917671512108305,-0.033621067417408064,-0.9981380545577124,-0.05089251290179126,-0.07883520553450114,-1.4245865946885443,-0.10122185729733438,-0.11355389963840239,-1.7074832214581905,-0.15145539114357584,-0.14214588475731582,-1.928240229112464,-0.18545792488714372,0.1018717125007318,-0.9549466566262009,-0.07803554868932684,0.08396041550212723,-1.3686526531615917,-0.137727239117153,0.057428440797518125,-1.6175815255842751,-0.17986943167727246,0.03257823903750229,-1.8176244043363439,-0.20510277184982334,0.23575264727965425,-0.8315333054419697,-0.11079381377129237,0.28457756943686696,-1.1519681560196096,-0.16497829168452954,0.2965128989201197,-1.3596362099080115,-0.18666453701041247,0.2975640300737509,-1.5381040543755964,-0.19725930295429397
frame_0003.jpg,0.0,0.0,0.0,-0.19775609508334163,-0.18192369470466424,-0.05017573459054657,-0.3290018785252892,-0.5468890896077034,-0.06367802532207244,-0.40912228740518364,-0.8237846665496732,-0.07716804120675405,-0.48561305416113804,-1.0218051272584434,-0.09015579300099463,-0.16556076799989525,-0.9559098736678151,-0.009309043517460428,-0.21950098371813234,-1.321000271082631,-0.05414932740840365,-0.25233421526441846,-1.5595635666864134,-0.0985462500274014,-0.2757628844690686,-1.7492501866336978,-0.13302629991258424,-0.03415195908893334,-0.999003428876569,-0.028736610503777602,-0.0639883941257313,-1.4029762981889136,-0.06753682001890284,-0.08174788936285704,-1.6690535278535061,-0.11483551745181368,-0.09435241809278275,-1.8786928577998634,-0.14903399550747465,0.09453486301206002,-0.9471592082774708,-0.059177832905199006,0.09827384153664032,-1.34295836569867,-0.11170877177436311,0.09861441626520173,-1.5915700844929332,-0.15666951120561753,0.09575861475594216,-1.797330746423743,-0.18638608417335542,0.21702133206480667,-0.8163708426429777,-0.09439177278180604,0.28161858307231213,-1.1163433356379857,-0.1465041021461682,0.3173157755607414,-1.3120306065136909,-0.17111568513311812,0.3451201854322079,-1.4833311275755536,-0.18560275821794775
frame_0004.jpg,0.0,0.0,0.0,-0.19771161802256987,-0.17729346702474258,-0.04955960644444157,-0.3269074875294496,-0.5466031311855786,-0.05880580347267952,-0.4167580300713267,-0.8153786097467576,-0.06802039507947659,-0.5018326931104771,-0.9900443362478649,-0.07704272275602422,-0.1619262342016561,-0.95593931210059,0.00030869415749840867,-0.21684427213239799,-1.306101372739586,-0.03437667899186162,-0.24474765474257035,-1.5286203196356685,-0.07243234029947591,-0.26261265973180115,-1.7097520863307105,-0.10394584859845934,-0.028000858878290485,-0.9994374484319681,-0.018459105446235018,-0.05363971065870755,-1.3925134742462257,-0.048075038304651846,-0.06697656925855097,-1.6459668351741399,-0.08961992622176002,-0.07698275988016084,-1.8463541309930462,-0.1210497111396324,0.09936462292725994,-0.9462359996172408,-0.04893289429572511,0.1176933647788994,-1.3319801778372955,-0.09690367446417741,0.13108315650086644,-1.575678551656156,-0.14135517903760755,0.13822287364171296,-1.7823537913575294,-0.17201954071278355,0.21581398306374408,-0.8172553711343278,-0.08400841463063834,0.2892515966668074,-1.1056330373785235,-0.1343063215246137,0.335885524712693,-1.295779795288032,-0.15952079305791866,0.37367702809858566,-1.4705544389337974,-0.17564605069020583
frame_0005.jpg,0.0,0.0,0.0,-0.19018444564919473,-0.1899280116981447,-0.049714825706412995,-0.31781753400699503,-0.5458259874360687,-0.06035010309997678,-0.4104415065338279,-0.8030422531859588,-0.07182744309093657,-0.49893989202020106,-0.9667583480636565,-0.08363389506842084,-0.15527810925158966,-0.9571310470630828,0.0024120581727339148,-0.20943551874275884,-1.2957078210420365,-0.033429946474392576,-0.2396885493783913,-1.51616202287843,-0.07355428277126762,-0.26053086571637246,-1.6963662767687255,-0.10724406963393046,-0.02230343111526566,-0.9996047581784431,-0.017113865358330344,-0.04684536594084417,-1.386133504701224,-0.04844473602673107,-0.05976704920820446,-1.632594101250794,-0.09175560235237942,-0.07050786758911178,-1.831600723959497,-0.12516411046802522,0.10379105353623447,-0.9454894750215491,-0.048692145531826,0.12692583646298913,-1.3172196740750328,-0.09889623656873849,0.14322365502281484,-1.5552606647254907,-0.14498983491598688,0.151580108179968,-1.7594409600268808,-0.17705497797534894,0.21844349646247085,-0.8149558451870352,-0.08504369364793211,0.29714475227082615,-1.0905651448554021,-0.1358461780515894,0.347056150750257,-1.2747682391887918,-0.16192827886026276,0.38723041098058525,-1.44665283613538,-0.1794691551162908
frame_0006.jpg,0.0,0.0,0.0,-0.1901510069019647,-0.1805440237917886,-0.052437943778774324,-0.31692756624939583,-0.5383083284035987,-0.0644737425559873,-0.40702768524753924,-0.7959088548472222,-0.07670045789746936,-0.4959839168062488,-0.9567125714668697,-0.08957227139888624,-0.14914050254232697,-0.9583767483059502,-0.004898741639418726,-0.2039338491593471,-1.290055909451478,-0.042302300855683476,-0.23491649936578238,-1.5073489201759722,-0.08330633942002653,-0.25747971152764343,-1.6857143491754571,-0.11842622510233249,-0.017218106690054073,-0.999551364996299,-0.024507254763545185,-0.04029080190845097,-1.3830260130741614,-0.05911490402314352,-0.05206092674028216,-1.6303150188579207,-0.10435005366649033,-0.06349389366705288,-1.8320176283234422,-0.13930034279895645,0.10669189004148896,-0.9426115184260146,-0.056142299662836646,0.13108598489548826,-1.315369984315653,-0.11131636275294014,0.15053207136586289,-1.554130660137424,-0.1604808023122029,0.16075876223230612,-1.7624860146334602,-0.19434552223689044,0.21912310095147103,-0.808953767954704,-0.09250086242423096,0.3009078109680546,-1.0811749164159552,-0.15045840536227148,0.35308054733839095,-1.2671368804321184,-0.181937751119228,0.394241187824983,-1.442931264278655,-0.20283122117530641
frame_0007.jpg,0.0,0.0,0.0,-0.1820438004919477,-0.220957795481868,-0.04216799075677648,-0.29447547846269984,-0.5768733851626068,-0.05730380027475633,-0.36862722990032315,-0.8338473469361406,-0.07475651516706526,-0.456612128294683,-0.9817895164360335,-0.09575355866253518,-0.11591152362812246,-0.9691439557773281,-0.016211938089903153,-0.15585650743157747,-1.31765885613536,-0.060169742816189996,-0.17738987977636844,-1.5468612766054397,-0.10467827707543007,-0.1929332691333283,-1.735506591350995,-0.1420673569922234,0.01116707662898377,-0.9989172647839446,-0.045161870157523605,0.0014183110217704344,-1.4095620140781506,-0.08997957093207991,-0.0018277828034851055,-1.6748996547973458,-0.1414054908207158,-0.0042316021812467824,-1.8911158541686135,-0.18061907724991713,0.1302267929675847,-0.9287230514717215,-0.08382490586543262,0.1733072703927236,-1.331244075532955,-0.14659832911701645,0.20401219045986577,-1.588097617458675,-0.20232709898158982,0.22659766754490807,-1.8117155951733457,-0.2413583944210592,0.23746602025957206,-0.7760718826501982,-0.12547483462945394,0.33743812015693053,-1.0562901974878625,-0.1882212538593713,0.40411645783892414,-1.2506276019159346,-0.22208948372089135,0.45939736332775266,-1.4320454923773223,-0.24590093969799498
frame_0008.jpg,0.0,0.0,0.0,-0.13740618452812975,-0.21772628046891424,-0.024058971950196947,-0.20583695177394204,-0.6004150885708857,-0.037586175183689834,-0.2503950487891138,-0.8477953953346877,-0.0551909658528539,-0.3186528809755644,-1.0127419650685863,-0.08036757098428643,-0.05490453969908861,-1.0059494506005786,-0.041096154131127924,-0.06546953621931009,-1.3949619231550565,-0.10323579336794612,-0.07766640138393953,-1.6538977436471893,-0.15611072029067338,-0.08529861356746357,-1.8653028314034126,-0.19562216421978237,0.03417713670155283,-0.9959793194625848,-0.08280772023024205,0.0401198930393569,-1.4548736006260545,-0.1470750477354151,0.03926076831616891,-1.7779516330566545,-0.20858481340667803,0.037738350045338924,-2.041088403025221,-0.2511262092337344,0.1190610183463145,-0.8930478344186908,-0.12991843065296785,0.17352394053172723,-1.3415694811289725,-0.20092510853819026,0.19497864212896568,-1.6521275009369782,-0.2632937170675745,0.20872099513603504,-1.9214171359686174,-0.3064342496167148,0.18913059245356026,-0.714521179228408,-0.17762868975441348,0.27289065639560944,-1.0102733474508976,-0.2501845630917988,0.318061744884988,-1.2283285861345354,-0.2906055530681361,0.354089997888956,-1.4260602260515243,-0.3178738951207189
frame_0009.jpg,0.0,0.0,0.0,-0.22040053729266346,-0.373846084692898,0.0186860187784615,-0.2660278461848961,-0.7914912162813441,0.002179224499267368,-0.2854592567830353,-1.07645235744665,-0.030448082012691145,-0.3214389708962938,-1.3141162055433506,-0.07603039660519809,-0.08015331781197015,-1.042954133211711,-0.06284061441151971,-0.10815358325761712,-1.5062398486063513,-0.16412414887850693,-0.13381685115768097,-1.8830071291738668,-0.2443850317865873,-0.158716913619674,-2.2183918056457412,-0.3022455823533508,-0.02990593040219999,-0.9898632592313601,-0.13883934366975295,-0.06811113278376393,-1.518785254988426,-0.24231008614834285,-0.10286751251809705,-1.9540443593389418,-0.3259575400157782,-0.13269011730650712,-2.346739979410888,-0.38680941374302963,-0.014735154497406523,-0.896916702605124,-0.2145927805995241,-0.05813391167965026,-1.4045191865398161,-0.31069733714250863,-0.0914655868017324,-1.800183766647961,-0.37490360292709846,-0.1134686545784072,-2.153870924400261,-0.420181219951165,-0.04185008529653572,-0.7803897120794034,-0.2885126072740051,-0.062026524912090576,-1.1367046390504076,-0.37685751709016585,-0.0821488437245711,-1.4129240451425364,-0.42392686456884165,-0.09077774202907454,-1.6692973527473092,-0.4587081602955335
frame_0010.jpg,0.0,0.0,0.0,-0.05629992831047206,-0.48568211497106417,0.09491455332800484,-0.20467036134652908,-0.9396714611794116,0.08417820318576881,-0.37635555531701875,-1.2118221337313357,0.05383965013343297,-0.5242695105033107,-1.400188027952242,0.007757917625760098,-0.04681362619501361,-1.089299902232375,-0.10892351976171305,-0.14464730706803378,-1.7219851947613076,-0.20335861442626557,-0.18816700193829894,-2.112200790928343,-0.2479515968224364,-0.2133620114141294,-2.4134956597778965,-0.273227424199845,-0.08722922583274804,-0.9728573550032006,-0.21433531901391326,-0.22694423356276322,-1.6852015860110934,-0.30791097117990096,-0.3193393855185176,-2.1323751745510253,-0.3586861361525934,-0.38781106298327167,-2.501768869482521,-0.3961911163214689,-0.16565996147836265,-0.7933410783227666,-0.3036429548704926,-0.3149933312140747,-1.458065911461613,-0.38956717220456527,-0.40614239722634693,-1.8770969871421994,-0.4536200879122865,-0.4701843366020452,-2.2428848853571113,-0.5012254429544628,-0.27686012082516537,-0.5630882401141173,-0.3757659965920813,-0.41095020260533865,-0.9661016662431924,-0.47317432310509316,-0.49799119724036844,-1.2288330983426696,-0.5287477214074416,-0.5771915944337788,-1.4790219360231764,-0.5669795181727442
